strain	date	country	doi	pubmed
DQ256376	1980-XX-XX	India		
HM147823	1988-XX-XX	Madagascar		23136360
MH939154	2014-XX-XX	Romania		
MH939153	2014-XX-XX	Romania		
KC601756	2011-2-XX	India		23682140
HM147822	1958-XX-XX	South Africa		23136360
KF367469	2013-3-30	British Virgin Islands	10.1007/s10393-014-0910-6	24504904
KJ958922	2011-XX-XX	Turkey	10.3201/eid2102.141135	25625703
JN393308	2008-4-15	South Africa		
KP780838	2009-9-16	Austria	10.1016/j.vetmic.2015.12.012	26790946
KP780839	2011-3-14	Austria	10.1016/j.vetmic.2015.12.012	26790946
KP780837	2008-8-29	Austria	10.1016/j.vetmic.2015.12.012	26790946
KP780840	2014-8-21	Austria	10.1016/j.vetmic.2015.12.012	26790946
KM659876	2014-XX-XX	Austria	10.1016/j.jcv.2015.01.003	25728073
KF234080	2009-XX-XX	Italy		24058590
GU011992	2009-XX-XX	Italy		19660244
GQ379160	2006-2-XX	Argentina		
GQ379161	2006-2-XX	Argentina		
MG004531	2016-5-11	USA		
MG004532	2015-8-05	USA		
MG004540	2015-5-12	USA		
MG004534	2016-6-28	USA		
MG004536	2016-8-25	USA		
MG004530	2016-10-20	USA		
MG004528	2015-6-09	USA		
MG004541	2017-4-26	USA		
MN481592	2012-8-02	Greece	10.1016/j.ympev.2019.106617	31521822
MN481595	2010-9-30	Greece	10.1016/j.ympev.2019.106617	31521822
MN481591	2018-8-23	Greece	10.1016/j.ympev.2019.106617	31521822
MN481593	2012-8-22	Greece	10.1016/j.ympev.2019.106617	31521822
MN481594	2012-9-05	Greece	10.1016/j.ympev.2019.106617	31521822
MN481597	2012-8-27	Greece	10.1016/j.ympev.2019.106617	31521822
MN481590	2018-7-17	Greece	10.1016/j.ympev.2019.106617	31521822
MN481589	2018-7-17	Greece	10.1016/j.ympev.2019.106617	31521822
MN481596	2011-7-06	Greece	10.1016/j.ympev.2019.106617	31521822
JX442279	2011-XX-XX	China	10.3201/eid2008.131433	25062043
MN480794	2018-9-XX	Greece	10.1016/j.ympev.2019.106617	31521822
MN480792	2018-8-XX	Greece	10.1016/j.ympev.2019.106617	31521822
MN480795	2018-8-XX	Greece	10.1016/j.ympev.2019.106617	31521822
MN480793	2018-8-XX	Greece	10.1016/j.ympev.2019.106617	31521822
JX123030	2011-3-07	Australia		23345269
JX123031	2011-3-15	Australia		23345269
DQ176636	1978-XX-XX	Madagascar	10.1128/JVI.00768-06	16973548
HQ537483	2010-XX-XX	Greece		21529413
HM147824	1958-XX-XX	Democratic Republic of the Congo		23136360
MT341472	2018-8-XX	Bulgaria		32305885
KU588135	2015-XX-XX	United Arab Emirates	10.1038/emi.2016.53	27273223
KT163243	2015-1-01	India	10.1016/j.jviromet.2015.09.008	26388421
LC318700	2016-05-16	Zambia		
MN619801	2018-XX-XX	Russia		
MN619802	2018-XX-XX	Russia		
MN619803	2018-XX-XX	Russia		
MH643887	2018-4-26	Brazil		30672980
