strain,date,country
DQ256376,1980-XX-XX,India
HM147823,1988-XX-XX,Madagascar
MH939154,2014-XX-XX,Romania
MH939153,2014-XX-XX,Romania
KC601756,2011-2-XX,India
HM147822,1958-XX-XX,South Africa
KF367469,2013-3-30,British Virgin Islands
KJ958922,2011-XX-XX,Turkey
JN393308,2008-4-15,South Africa
KP780838,2009-9-16,Austria
KP780839,2011-3-14,Austria
KP780837,2008-8-29,Austria
KP780840,2014-8-21,Austria
KM659876,2014-XX-XX,
KF234080,2009-XX-XX,Italy
GU011992,2009-XX-XX,Italy
GQ379160,2006-2-XX,Argentina
GQ379161,2006-2-XX,Argentina
MG004531,2016-5-11,USA
MG004532,2015-8-05,USA
MG004540,2015-5-12,USA
MG004534,2016-6-28,USA
MG004536,2016-8-25,USA
MG004530,2016-10-20,USA
MG004528,2015-6-09,USA
MG004541,2017-4-26,USA
MN481592,2012-8-02,Greece
MN481595,2010-9-30,Greece
MN481591,2018-8-23,Greece
MN481593,2012-8-22,Greece
MN481594,2012-9-05,Greece
MN481597,2012-8-27,Greece
MN481590,2018-7-17,Greece
MN481589,2018-7-17,Greece
MN481596,2011-7-06,Greece
JX442279,2011-XX-XX,China
MN480794,2018-9-XX,Greece
MN480792,2018-8-XX,Greece
MN480795,2018-8-XX,Greece
MN480793,2018-8-XX,Greece
JX123030,2011-3-07,Australia
JX123031,2011-3-15,Australia
DQ176636,1978-XX-XX,Madagascar
HQ537483,2010-XX-XX,Greece
HM147824,1958-XX-XX,Democratic Republic of the Congo
MT341472,2018-8-XX,Bulgaria
KU588135,2015-XX-XX,United Arab Emirates
KT163243,2015-1-01,India
LC318700,2016-05-16,Zambia
MN619801,2018-XX-XX,Russia
MN619802,2018-XX-XX,Russia
MN619803,2018-XX-XX,Russia
MH643887,2018-4-26,Brazil
KC407667,2007-XX-XX,Spain
MH021189,2017-10-XX,Belgium
JQ928175,2011-9-XX,Italy
JQ928174,2011-9-XX,Italy
MT341471,2019-7-XX,Greece
MT341470,2019-7-XX,Greece
EF429200,1958-XX-XX,South Africa
KT359349,2014-XX-XX,Hungary
KC496015,2010-XX-XX,Hungary
MH244513,2013-XX-XX,Slovakia
KT207791,2014-7-15,Italy
KT207792,2014-8-18,Italy
JF719069,2010-8-XX,Spain
JF707789,2008-XX-XX,Spain
FJ766331,2008-XX-XX,Spain
FJ766332,2008-XX-XX,Spain
KF179640,2008-XX-XX,Austria
MH986056,2018-XX-XX,Germany
JF719068,2009-10-XX,Italy
MH986055,2018-XX-XX,Germany
JF719065,2008-10-XX,Italy
JF719066,2008-9-XX,Italy
JF719067,2009-11-XX,Italy
KC407673,2012-XX-XX,Serbia
JN858070,2011-9-XX,Italy
MN794939,2019-XX-XX,Germany
MN794937,2019-XX-XX,Germany
MN794938,2019-XX-XX,Germany
KC496016,2010-XX-XX,Serbia
MH244511,2013-XX-XX,Slovakia
MH244510,2014-XX-XX,Slovakia
MH244512,2013-XX-XX,Slovakia
KM203860,2013-8-08,Czech Republic
KM203861,2013-8-08,Czech Republic
KM203862,2013-8-08,Czech Republic
KM203863,2013-8-08,Czech Republic
KP109692,2014-XX-XX,Austria
KP109691,2014-XX-XX,Austria
KP789953,2014-XX-XX,Italy
KP789959,2014-XX-XX,Italy
KP789957,2014-XX-XX,Italy
KP789958,2014-XX-XX,Italy
KP789954,2014-XX-XX,Italy
MN794935,2019-XX-XX,Germany
KF588365,2013-8-XX,Italy
KF647249,2013-8-XX,Italy
KF647250,2013-8-XX,Italy
KF179639,2012-9-XX,Greece
JX556213,2012-8-03,Italy
KF647251,2013-8-XX,Italy
KF647253,2013-8-XX,Italy
KF647248,2013-8-XX,Italy
KF647252,2013-8-XX,Italy
KC954092,2012-9-XX,Italy
KP789956,2014-XX-XX,Italy
KP789960,2013-XX-XX,Italy
KP789955,2014-XX-XX,Italy
KU206781,2015-8-27,Bulgaria
KJ883346,2013-XX-XX,Greece
KJ883349,2013-XX-XX,Greece
KJ883343,2013-XX-XX,Greece
KJ883345,2013-XX-XX,Greece
KJ883348,2013-XX-XX,Greece
KJ883344,2013-XX-XX,Greece
MH924836,2018-8-22,Germany
EF429198,2001-XX-XX,South Africa
EF429199,2000-XX-XX,South Africa
EF429197,1989-XX-XX,South Africa
MF984344,2015-XX-XX,Austria
MF984345,2015-XX-XX,Austria
FJ159129,2006-XX-XX,Russia
FJ159130,2005-XX-XX,Russia
FJ159131,2005-XX-XX,Russia
MF984342,2015-XX-XX,Austria
MF984343,2015-XX-XX,Austria
MF984349,2016-XX-XX,Austria
MF984350,2016-XX-XX,Austria
MF797870,2016-7-XX,Cyprus
MF984341,2015-XX-XX,Austria
MN149538,2006-5-XX,Russia
HM051416,1953-XX-XX,Israel
FJ483548,2008-XX-XX,Italy
FJ483549,2008-XX-XX,Italy
JX041632,1955-XX-XX,India
JX041629,1967-XX-XX,Azerbaijan
JX041634,1999-XX-XX,Russia
JX041628,1970-XX-XX,Azerbaijan
JX041631,1980-XX-XX,Ukraine
JX041630,1967-XX-XX,Azerbaijan
KY594040,2010-XX-XX,Greece
MK352483,2018-XX-XX,USA
MN652879,2018-7-XX,Greece
MN652880,2018-8-XX,Greece
MN652878,2018-7-XX,Greece
KY523178,2009-6-XX,Uganda
MN849176,2019-9-XX,USA
JN858069,2011-9-XX,Italy
KX547235,2015-8-13,USA
OU953897,2020-8-XX,Spain
OU953898,2020-8-XX,Spain
OU953895,2020-8-XX,Spain
OU953896,2020-8-XX,Spain
